;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos Demanda;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram;disco duro
;ECO;303C;Econometría;TexNicCenter Latex;Aplicación gratuita;2.02;SI;Libre;;3;87;90;;;;;;
;ECO;303C;Econometría;Miktex;Aplicación gratuita;2.9.6515;SI;Libre;;3;87;90;;;;;;
;ECO;303C;Econometría;Stata SE ;Licenciado-anual;15.1;SI;Limitada a cantidad;36;3;87;90;;;;;;
#¡REF!;ECO;303C;Econometría II;Miktex;Aplicación gratuita;2.9.6515;;Libre;;0;0;0;;;;;;
;ECO;207C/302C;Econometría II;EViews ;Licenciado-anual;10;;Limitada a cantidad Concurrente;;0;0;0;;;;;;
;ECO;207C/302c;Econometría II;TexNicCenter Latex;Aplicación gratuita;2.02;;Libre;;0;0;0;;;;;;
;ECO;303C/203C;Medición económica;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;77;88; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;ECO;303C;Econometría Avanzada I;Miktex;Aplicación gratuita;2.9.6515;;Libre;;0;0;0;;;;;;
;ECO;303C;Econometría Avanzada I;Stata SE ;Licenciado-anual;15.1;SI;Limitada a cantidad;36;0;0;0;;;;;;
;ECO;303C;Econometría Avanzada I;TexNicCenter Latex;Aplicación gratuita;2.02;;Libre;;0;0;0;;;;;;
;ECO;303C;Excel avanzado;Office;Licenciado-anual;2013;;Contrato Microsoft;;5;169;170; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;ECO;304C;Introducción al data analytics para la toma de decisiones;Software R;Aplicación gratuita;#¡REF!;;Libre;;1;17;20;;;;;;
;ECO;304C;Introducción al data analytics para la toma de decisiones;Rstudio;Aplicación gratuita;1.1.383;;Libre;;1;17;20;;;;;;
;IDI;201C/211C;Alemán;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;2;41;44;;;;;;
;IDI;201C/211C;Alemán;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;2;41;44;;;;;;
;IDI;201C/211C;Francés;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;6;115;132;;;;;;
;IDI;201C/211C;Francés;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;6;115;132;;;;;;
;IDI;201C/211C;Portugués;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;147;198;;;;;;
;IDI;201C/211C;Portugués;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;147;198;;;;;;
;IDI;201C/211C;Inglés;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;165;372;;;;;;
;IDI;201C/211C;Inglés;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;165;372;;;;;;
;IDI;201C/211C;Italiano;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;161;198;;;;;;
;IDI;201C/211C;Italiano;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;161;198;;;;;;
;IDI;201C/211C;Mandarín;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;3;26;66;;;;;;
;IDI;201C/211C;Mandarín;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;3;26;66;;;;;;
;IDI;201C;Inglés I Y Laboratorio;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;182;372;;;;;;
;IDI;211C;Inglés Ii Y Laboratorio;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;12;265;284;;;;;;
;IDI;201C;Inglés III  - Escrito;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;14;316;330;;;;;;
;IDI;211C;Inglés III  - Oral;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;14;316;330;;;;;;
;MAT;;Matemática discreta;Lambda calculator;Aplicación gratuita;#¡REF!;;Libre;;1;34;36;;;;;;
;MAT;207C;Regresión y muestreo;SPSS;Licenciado-anual;24;;Limitada a cantidad Concurrente;;5;121;129;;;;;;
;MAT;207C;Regresión y muestreo;MegaStat - Complemento de excel;Aplicación gratuita;Complemento;;Libre;;5;121;129;;;;;;
;MAT;207C;Regresión y muestreo;Matlab;Licenciado-anual;9.3.0.713579;;Limitada a cantidad Concurrente;;5;121;129;Intel o AMD X86-64;1 GHz;64 bits;>=Windows 7;2 GB;2 GB
;MAT;207C;Regresión y muestreo;Software R;Aplicación gratuita;#¡REF!;;Libre;;5;121;129;;;;;;
;MAT;207C;Regresión y muestreo;Minitab;Licenciado-anual;18.1.0.0;;Limitada a cantidad Concurrente;;5;121;129;;;;;;
;MAT;207C;Regresión y muestreo;Office;Licenciado-anual;2013;;Contrato Microsoft;;5;121;129; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;MAT;;Informática teórica;CFG Experimenter;Aplicación gratuita;1.0;;Libre;;1;23;30;;;;;;
;MAT;;Informática teórica;Visual Turing Machine;Aplicación gratuita;2.0;;Libre;;1;23;30;;;;;;
;MAT;203C/303C;Fundamentos De Probabilidad Y Estadística;Office;Licenciado-anual;2013;;Contrato Microsoft;;3;90;108; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;MAT;205C/207/305C;Diseño de experimentos;Minitab;Licenciado-anual;18.1.0.0;;Limitada a cantidad Concurrente;;2;52;48;;;;;;
;MAT;205C/207/305C;Diseño de experimentos;Matlab;Licenciado-anual;9.3.0.713579;;Limitada a cantidad Concurrente;;2;52;48;Intel o AMD X86-64;1 GHz;64 bits;>=Windows 7;2 GB;2 GB
;MAT;205C/207/305C;Diseño de experimentos;Software R;Aplicación gratuita;#¡REF!;;Libre;;2;52;48;;;;;;
;MAT;205C/207/305C;Diseño de experimentos;MegaStat - Complemento de excel;Aplicación gratuita;Complemento;;Libre;;2;52;48;;;;;;
;MAT;205C/207/305C;Diseño de experimentos;Office;Licenciado-anual;2013;;Contrato Microsoft;;2;52;48; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2 GB;3 GB
;MAT;;Cálculo CN;Mathematica;Mantenimiento-anual;10.0.1.0;;Limitada a cantidad Concurrente;;2;58;72; Intel Pentium 4;2.4 GHz;64 bits;>=windows7;2 GB;13 GB
;MAT;;Álgebra y Funciones;Geogebra;Aplicación gratuita;6.0.400.0;#N/A;Libre;;24;623;644;;;;;;
;MAT;;Cálculo de una variable;Geogebra;Aplicación gratuita;6.0.400.0;#N/A;Libre;;9;260;270;;;;;;
;MAT;;Cálculo de varias variables;Geogebra;Aplicación gratuita;6.0.400.0;#N/A;Libre;;5;178;180;;;;;;
;MAT;;Ecuaciones diferenciales;Geogebra;Aplicación gratuita;6.0.400.0;#N/A;Libre;;4;141;144;;;;;;
;MAT;;Álgebra lineal;Geogebra;Aplicación gratuita;6.0.400.0;#N/A;Libre;;7;217;210;;;;;;
;TIC;;Gerencia de Proyectos de T.I.;Visual Paradigm comunity edition ;Convenio;14.2;;Ilimitada Facultad de Ingeniería;;1;16;35;>= Intel pentium 4;1 GHz;64 bits;>= windows XP;4 GB;4 GB
;TIC;;Gerencia de Proyectos de T.I.;Microsoft Office Project Profesional;Licenciado-anual;2013;;Contrato Microsoft;;1;16;35; with SSE2 instruction set.;1 Ghz;64-bit ;>=Windows 7;2 GB;3 GB
;TIC;;Ingeniería de procesos;Visual Paradigm comunity edition ;Convenio;14.2;;Ilimitada Facultad de Ingeniería;;1;24;30;>= Intel pentium 4;1 GHz;64 bits;>= windows XP;4 GB;4 GB
;TIC;102B;Bases de datos;Oracle Database;Aplicación gratuita;#¡REF!;;Libre;;1;20;19;;;;;;
;TIC;102B;Bases de datos;Oracle SQL Developer;Aplicación gratuita;#¡REF!;;Libre;;1;20;19;;;;;;
;TIC;102B;Bases de datos;Oracle SQL Developer Datamodeler;Aplicación gratuita;#¡REF!;;Libre;;1;20;19;;;;;;
;TIC;102B;Bases de datos;JRE Y JDK ;Aplicación gratuita;#¡REF!;;Libre;;1;20;19;;;;;;
;TIC;;Proyecto de grado II-SIS;Visual Paradigm comunity edition ;Convenio;14.2;;Ilimitada Facultad de Ingeniería;;1;13;25;>= Intel pentium 4;1 GHz;64 bits;>= windows XP;4 GB;4 GB
;TIC;202C;Sistemas operacionales;VMware Player;Aplicación gratuita;14.0;;Libre;;1;22;24;;;;;;
;TIC;202C;Sistemas operacionales;VirtualBox;Aplicación gratuita;5.1.30;;Libre;;1;22;24;;;;;;
;TIC;202C;Sistemas operacionales;Maquina Virtual Programación Red, W7, Netbeans, Mr. Bayes, Garli PartitionFinder, Python 3.6, Pycharm;#N/A;#N/A;;#N/A;;1;22;24;;;;;;
;TIC;202C;Sistemas operacionales;JRE Y JDK ;Aplicación gratuita;#¡REF!;;Libre;;1;22;24;;;;;;
;TIC;202C;Sistemas operacionales;Python;Aplicación gratuita;3.6.3;;Libre;;1;22;24;;;;;;
