;SOFTWARE REQUERIDO PREGRADO 2018-20;;;;;;;;;;;;;;;;;
;DPTO;SALA;MATERIA_NOMBRE;SOFTWARE REQUERIDO;Licencia;Versión 2018-1;Softw único;Tipo Licencia;cuantas;Nº de cursos;Nº de alumnos;Nº de alumnos Oferta;Procesador;velocidad del procesador;arquitectura;sistema operativo;memoria ram(GB);disco duro(GB)
;ECO;303C;Econometría Avanzada I;Stata SE ;Licenciado-anual;15.1;SI;Limitada a cantidad;36;0;0;0; 64-bit processor;2 GHz;64 bits;Windows 8;2;1
;ECO;303C;Econometría Avanzada I;TexNicCenter Latex;Aplicación gratuita;2.02;;Libre;;0;0;0;;;64 bits;;;
;ECO;303C;Excel avanzado;Office;Licenciado-anual;2013;;Contrato Microsoft;;5;169;170; with SSE2 instruction set.;1 GHz;64 bits;>= windows XP;2;3
;ECO;304C;Introducción al data analytics para la toma de decisiones;Software R;Aplicación gratuita;#¡REF!;;Libre;;1;17;20;Intel Core 2 Duo;2.4GHz;64 bits; Windows 10;16;5
;ECO;304C;Introducción al data analytics para la toma de decisiones;Rstudio;Aplicación gratuita;1.1.383;;Libre;;1;17;20;;;64 bits;;;
;IDI;201C/211C;Alemán;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;2;41;44;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C/211C;Alemán;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;2;41;44;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C/211C;Francés;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;6;115;132;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C/211C;Francés;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;6;115;132;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C/211C;Portugués;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;147;198;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
;IDI;201C/211C;Portugués;Software para exámenes TOEFL;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;9;147;198;>= Intel pentium 3;1 GHz;64 bits;>=Windows 7;0.128;0.150
;IDI;201C/211C;Inglés;Rosetta Stone;Licenciado-perpetuo;Perpetua;SI;Limitada a cantidad;22;16;165;372;Intel Atom;2.33GHz ;64 bits;>=Windows 7;1;3
